# theta_E,e1,e2,gamma1,gamma2,R_sersic,n_sersic,e1_src,e2_src,center_x_src,center_y_src
1.598196864128112793e+00,-2.868343889713287354e-01,5.062905699014663696e-02,-5.215980112552642822e-02,6.821624934673309326e-02,5.256630778312683105e-01,1.427973031997680664e+00,1.905192136764526367e-01,-6.930866092443466187e-02,1.801330409944057465e-02,2.640887200832366943e-01
1.464192509651184082e+00,-2.860251963138580322e-01,5.052612349390983582e-02,-1.227102652192115784e-01,3.294678032398223877e-02,3.863319456577301025e-01,1.154846191406250000e+00,3.900614678859710693e-01,5.048344284296035767e-02,9.537178277969360352e-02,2.622452676296234131e-01
1.502318501472473145e+00,-1.458964049816131592e-01,7.408815622329711914e-02,-1.999825239181518555e-03,5.428178608417510986e-02,2.486265003681182861e-01,6.092764139175415039e-01,-9.672904014587402344e-02,2.673339545726776123e-01,9.470559656620025635e-03,2.722393572330474854e-01
1.589383840560913086e+00,-2.125416100025177002e-01,-1.206631734967231750e-01,2.856418490409851074e-03,5.925580859184265137e-03,4.968391358852386475e-01,1.162688493728637695e+00,2.549302279949188232e-01,7.463896274566650391e-02,2.271994762122631073e-02,2.977239191532135010e-01
1.477158904075622559e+00,-2.274891547858715057e-02,6.516797840595245361e-02,4.650549590587615967e-02,5.766679346561431885e-02,5.521000027656555176e-01,1.940943956375122070e+00,7.822148501873016357e-02,-1.550605744123458862e-01,-7.132565230131149292e-02,3.175135254859924316e-01
1.517600417137145996e+00,2.476545423269271851e-02,2.887627482414245605e-01,1.117425113916397095e-01,1.472330540418624878e-01,4.389556944370269775e-01,1.861405134201049805e+00,-6.230729818344116211e-02,-8.076120167970657349e-02,-3.213150054216384888e-02,3.359136879444122314e-01
1.512403368949890137e+00,-2.227117419242858887e-01,1.127403974533081055e-01,-4.350543022155761719e-03,1.317767053842544556e-01,4.872812628746032715e-01,1.727974891662597656e+00,-1.487700045108795166e-01,2.451723664999008179e-01,-5.670901387929916382e-02,3.128717839717864990e-01
1.450692415237426758e+00,3.148198872804641724e-02,-1.038412004709243774e-01,1.355097442865371704e-01,1.010823249816894531e-02,5.019013881683349609e-01,2.164377450942993164e+00,-1.042352616786956787e-01,-1.310641169548034668e-01,-6.544535513967275620e-03,4.170386195182800293e-01
1.532270789146423340e+00,-1.532510519027709961e-01,3.413248434662818909e-02,2.373521029949188232e-02,8.943368494510650635e-02,6.668608784675598145e-01,1.369651794433593750e+00,-1.156247872859239578e-02,9.501244872808456421e-02,-3.280858322978019714e-02,2.897882163524627686e-01
1.516730189323425293e+00,-5.309444665908813477e-02,2.016809582710266113e-02,8.345834910869598389e-02,9.915389120578765869e-02,5.890318751335144043e-01,2.078593254089355469e+00,-5.841610953211784363e-02,-1.365357637405395508e-01,-6.734448671340942383e-02,3.241674900054931641e-01
