lens_id,thetaE_lens_truth,e1_lens_truth,e2_lens_truth,phi_lens_truth,q_lens_truth,re_src_truth,q_src_truth,magnitude_src_truth,phi_src_truth,thetaE_lens_16,thetaE_lens_50,thetaE_lens_84,e1_lens_16,e1_lens_50,e1_lens_84,e2_lens_16,e2_lens_50,e2_lens_84,phi_lens_16,phi_lens_50,phi_lens_84,q_lens_16,q_lens_50,q_lens_84,re_src_16,re_src_50,re_src_84,q_src_16,q_src_50,q_src_84,magnitude_src_16,magnitude_src_50,magnitude_src_84,phi_src_16,phi_src_50,phi_src_84
837,0.8532647469686709,-0.18765024840831757,-1.640490587817567e-08,90.0,0.6839974651898626,0.522806201454826,0.782332168432775,21.4705,23.074406670368962,0.8369142460452427,0.8533050506068616,0.8656460550038068,-0.21257684358188417,-0.1789133597618376,-0.153094722034397,-0.021484434284634882,-0.0009631495653115371,0.025792700043896017,85.78640521286029,90.15298461914062,93.40909320421285,0.6492093485668865,0.69623863697052,0.7342513763962446,0.49028489541451414,0.5313699718296845,0.5676076370213331,0.7304367966023299,0.7766908407211304,0.8293671633599159,21.368511971999972,21.454647064208984,21.577073705425317,14.31003377388359,20.401344299316406,27.862625158098883
838,1.0389996678766595,-0.18071573972702026,-1.579867259238199e-08,90.0,0.6938878065536818,0.3019956126357683,0.7531313690605057,22.3616,11.379762762289296,1.0340745835538854,1.0395066751687811,1.0445891235706037,-0.20083497950164939,-0.18931158493163958,-0.17904534372829367,-0.012500871377905072,-0.0034312244064250716,0.007006709643400768,88.90383911132812,90.52051544189453,91.89479389495006,0.6653079810688701,0.6816088557243347,0.6962421382981511,0.2772637786028405,0.2937049873722749,0.30656354637025524,0.7410487617454885,0.7698718309402466,0.8080354019903351,22.328522858548563,22.388282775878906,22.46129022821286,5.250494135636126,9.889178276062012,14.499217664847487
839,1.0638295866642442,-0.35925373435020447,-3.140695881143074e-08,90.0,0.4713956244249855,0.4536707343835249,0.8356657142190187,21.8869,157.99119051308838,1.0533485216915617,1.0668222475749563,1.0818689166291091,-0.3927954904225533,-0.3666145565652861,-0.3421445687843943,-0.016135959416784112,0.00046672944779383634,0.016799429307702375,88.6948919003195,89.96351623535156,91.22668812244135,0.435948645627834,0.4633631408214569,0.49012497174704256,0.42060710576239735,0.4419266341432522,0.4663415201127543,0.8078261750448086,0.8561009168624878,0.908365901568536,21.86409398198852,21.93130111694336,22.001744240723255,151.15812896329248,161.8963623046875,172.68613036044948
840,1.774883333891736,-0.10368940234184265,-9.064815564840956e-09,90.0,0.8121040217954587,0.275933847974619,0.7739866110383673,22.0073,178.14611551563934,1.7699863358639518,1.7744405193484005,1.7808656645310579,-0.1106773165220203,-0.10401908736258617,-0.09741114186038717,-0.00313021949695645,0.0013231296171781147,0.0053476249746832105,88.58105725962572,89.6380615234375,90.87436341300155,0.8006988564570319,0.8115373849868774,0.8224693232106394,0.26528890255246396,0.275369870870667,0.28411190433184785,0.7657195808686084,0.7922601699829102,0.8197269540820203,21.978418583770015,22.011795043945312,22.05279272656418,0.025243662575416784,177.82472229003906,179.9706893371716
841,1.1511646304356982,-0.3339013159275055,-2.9190580619342654e-08,90.0,0.499361295693564,0.6023695850586813,0.7505781965192244,21.1258,98.46673615423364,1.1334013473574571,1.145039415214213,1.156068120882386,-0.3597515513074538,-0.33918777803254674,-0.31775596657248667,-0.018884988917975732,0.0005772168793508388,0.01792684203233978,88.45652577351112,89.95063781738281,91.5595989669646,0.47067239090905366,0.49335962533950806,0.5176320494229661,0.5717091873010439,0.6008500027774446,0.6239587291264896,0.7271841882504468,0.7575908899307251,0.783826952348927,21.061131622629716,21.10713005065918,21.16987846067028,95.12666274500748,99.08842468261719,103.28249318759951
842,1.4170443286968104,-0.18560458719730377,-1.622606760065537e-08,90.0,0.6869030538843552,0.42476590483338117,0.44604332688477677,22.0351,176.82903851011122,1.4119540990824815,1.4198677096295351,1.425584391933227,-0.19542387005601872,-0.18759501795627054,-0.17805059082117822,-0.003462460290348948,0.0021653391988430046,0.008470445133806813,88.69695640295487,89.6743392944336,90.52251725622605,0.6730040653972413,0.6840544939041138,0.6976838825518139,0.4091797493409074,0.4273313616151886,0.44780816272742796,0.41938819075971895,0.4406540095806122,0.4566821570049584,21.961204694161108,22.019086837768555,22.073373794555664,174.78846905428495,176.15875244140625,177.41747727081614
843,1.630666490142979,-0.06552695482969284,-5.728548302386116e-09,90.0,0.8770055364361893,0.22860213980369623,0.6324472450441626,22.7973,167.5426485083475,1.6266673837668568,1.6294284291544847,1.632124852878044,-0.06847588719123032,-0.06501718842204261,-0.061804233494954744,-0.0027343419589325336,9.987847124818614e-05,0.002889369715005109,88.75334684050127,89.95686340332031,91.21469701066114,0.8718241617951389,0.8778978586196899,0.8835755947216388,0.2185906596274357,0.22752118406647182,0.23518901501704792,0.6055046270521653,0.6250965595245361,0.6494504303708962,22.750714456176066,22.789505004882812,22.834117149434842,164.80792859634116,166.53260803222656,168.07806293097107
844,1.3284357883335383,-0.22854368388652802,-1.997992349345168e-08,90.0,0.6279437336173406,0.17289392249974875,0.40035428338572454,22.6404,7.580523684611493,1.3264968988849535,1.3288576095067786,1.331624792040248,-0.23447953868759797,-0.2299097088457092,-0.2271161708804763,-0.003263498731529907,-0.0006623208772547351,0.0018723630161655632,89.76540470064958,90.08262634277344,90.40657346640711,0.6201130503805795,0.6261281371116638,0.6298360066855268,0.16835130939516527,0.17237334829435003,0.17839791589176826,0.38826465606689453,0.400285005569458,0.4098468462442852,22.61604957219216,22.646503448486328,22.678384111395562,6.916779574716716,7.833666801452637,8.488808104793453
845,0.9581021909581643,-0.05608268454670906,-4.902903860681818e-09,90.0,0.8937911083124572,0.4626927068743431,0.5290060065541233,21.8869,48.60303592626279,0.9533503095659651,0.9629169892813472,0.9728639042759191,-0.06821388348834688,-0.052743112108400055,-0.03755551647481191,-0.019232317788668365,-0.005842152774852545,0.010333035732964619,84.85284507032205,93.19651794433594,100.01116413413394,0.871654814187523,0.8989230394363403,0.9266114597551345,0.4363984183004187,0.472191082338,0.5092035635952831,0.5102199943407828,0.5315666198730469,0.5596898321130238,21.773167917594574,21.869373321533203,21.973663086849587,45.2886966564251,47.250465393066406,49.69485083359256
846,0.5891629576848552,-0.15338338911533356,-1.3409201748970645e-08,90.0,0.7340287870094624,0.17069695302319002,0.44890457379935533,22.6361,122.14362439299302,0.5865485158015769,0.5890655992336564,0.5912334723931446,-0.16170575718112704,-0.15404439204964032,-0.14673257399456507,-0.011647179408005628,-0.0024035792088823696,0.00570895046824482,88.91875415819416,90.4461669921875,92.1043721286409,0.7215790133805785,0.7329361438751221,0.7440630831937912,0.1569511978682522,0.1638070769776093,0.1702273946932357,0.4263867635686867,0.4431857466697693,0.4635783813747814,22.643775939941406,22.688278198242188,22.741907962669888,120.90755708294091,122.51533508300781,123.87009959613032
