# theta_E,e1_mass,e2_mass,R_sersic_src,n_sersic_src,e1_src,e2_src,center_x_src,center_y_src,R_sersic_lens,n_sersic_lens,e1_lens,e2_lens
2.799476623535156250e+00,-2.990486621856689453e-01,-4.231111705303192139e-01,5.791180133819580078e-01,1.683587312698364258e+00,-2.386035770177841187e-01,-5.102385282516479492e-01,1.088415384292602539e+00,3.272154033184051514e-01,2.519853115081787109e-01,3.832973957061767578e+00,1.411899626255035400e-01,-4.502581655979156494e-01
4.982596039772033691e-01,1.257578879594802856e-01,-1.878977715969085693e-01,1.273799419403076172e+00,1.708209514617919922e+00,-2.557395696640014648e-01,-1.810927987098693848e-01,-2.654682993888854980e-01,1.232218891382217407e-01,3.819609880447387695e-01,3.851000785827636719e+00,-5.544407367706298828e-01,-1.694617122411727905e-01
2.805157661437988281e+00,2.796727418899536133e-01,4.565596282482147217e-01,3.855937719345092773e-01,5.464708805084228516e-01,-2.671749591827392578e-01,1.245387364178895950e-02,5.298077464103698730e-01,-4.106551408767700195e-02,1.955068826675415039e+00,4.669062137603759766e+00,-1.531030088663101196e-01,3.172324597835540771e-01
5.134659409523010254e-01,-3.739438578486442566e-02,5.344605445861816406e-01,6.704492568969726562e-01,2.114105939865112305e+00,3.491461277008056641e-01,1.946223527193069458e-01,6.446158289909362793e-01,4.236129522323608398e-01,2.933925390243530273e-01,4.294210433959960938e+00,2.990629337728023529e-02,-5.032985471189022064e-03
2.782447338104248047e+00,5.761890411376953125e-01,-2.580679357051849365e-01,9.683137536048889160e-01,2.294767856597900391e+00,-3.825196623802185059e-01,-3.287406563758850098e-01,5.195462107658386230e-01,1.074914216995239258e+00,1.154769897460937500e+00,4.071689605712890625e+00,1.213371008634567261e-01,1.883648782968521118e-01
2.786791563034057617e+00,-6.233301386237144470e-02,6.960853934288024902e-02,1.110940337181091309e+00,3.465418219566345215e-01,-1.329171955585479736e-01,2.276828885078430176e-02,1.063569068908691406e+00,3.598822951316833496e-01,1.321109890937805176e+00,3.465219974517822266e+00,3.416429758071899414e-01,2.652266621589660645e-01
8.775496482849121094e-01,-2.187578976154327393e-01,4.923450946807861328e-02,1.299119710922241211e+00,7.945261001586914062e-01,-3.562023937702178955e-01,-2.758358120918273926e-01,3.331944346427917480e-01,-2.889052033424377441e-02,1.440433859825134277e-01,3.697395801544189453e+00,5.631950497627258301e-01,-4.188749194145202637e-01
2.349138975143432617e+00,4.450387656688690186e-01,1.003238409757614136e-01,1.743495345115661621e+00,6.877866983413696289e-01,-3.021390438079833984e-01,-9.159721434116363525e-02,-3.680390417575836182e-01,-7.993021607398986816e-02,1.056360840797424316e+00,4.111998081207275391e+00,-3.135230839252471924e-01,2.938295602798461914e-01
1.664012789726257324e+00,4.164265692234039307e-01,3.488196432590484619e-02,1.861568331718444824e+00,7.123757600784301758e-01,-6.888153553009033203e-01,2.080665230751037598e-01,-1.816147565841674805e-01,7.304877042770385742e-01,1.814412474632263184e+00,4.204527378082275391e+00,2.337837219238281250e-01,4.782109856605529785e-01
2.263733863830566406e+00,9.516680613160133362e-03,2.247058898210525513e-01,8.603198826313018799e-02,1.534671306610107422e+00,1.540064960718154907e-01,4.755913913249969482e-01,-6.627843379974365234e-01,1.795864403247833252e-01,1.291915893554687500e+00,4.521789550781250000e+00,-7.631447911262512207e-02,-5.766106247901916504e-01
3.430409133434295654e-01,2.705213800072669983e-02,-5.073781311511993408e-02,7.469242215156555176e-01,1.391680717468261719e+00,-1.183682680130004883e-01,-2.965620458126068115e-01,-3.395923674106597900e-01,5.680383443832397461e-01,1.859862357378005981e-02,3.058097362518310547e+00,8.151680976152420044e-02,1.884559988975524902e-01
8.521354794502258301e-01,2.872888445854187012e-01,8.213088847696781158e-03,9.110735654830932617e-01,1.744375705718994141e+00,-3.628643751144409180e-01,9.579329192638397217e-02,1.525036334991455078e+00,1.511322975158691406e+00,1.125610828399658203e+00,4.191468715667724609e+00,2.435355186462402344e-01,-5.042525008320808411e-02
1.018719196319580078e+00,1.765428930521011353e-01,-8.783912658691406250e-02,8.747508525848388672e-01,1.931763887405395508e+00,8.434315919876098633e-01,-1.431230455636978149e-01,9.705707430839538574e-01,4.787179231643676758e-01,1.150826215744018555e+00,3.396099567413330078e+00,1.036464646458625793e-01,-4.007081687450408936e-01
2.880445480346679688e+00,-2.135778516530990601e-01,2.933083474636077881e-01,2.361346483230590820e-01,1.666224956512451172e+00,-2.195512354373931885e-01,-2.392107397317886353e-01,-1.498226523399353027e-01,5.282836556434631348e-01,1.625469326972961426e+00,3.260115146636962891e+00,-2.712886333465576172e-01,3.328826129436492920e-01
3.835688233375549316e-01,1.481653898954391479e-01,-6.464777141809463501e-02,5.395175814628601074e-01,1.540895938873291016e+00,3.364241421222686768e-01,-5.721976161003112793e-01,-3.799484372138977051e-01,-2.374542951583862305e-01,1.493357777595520020e+00,4.442636489868164062e+00,2.208625227212905884e-01,-1.593576371669769287e-01
1.251886010169982910e+00,-2.835250794887542725e-01,-9.420366883277893066e-01,1.457325220108032227e+00,2.004745244979858398e+00,-3.640725016593933105e-01,-3.514029830694198608e-02,6.190856695175170898e-01,-1.069436550140380859e+00,1.434179663658142090e+00,4.125544071197509766e+00,-3.003616072237491608e-02,-3.821073472499847412e-01
2.823314189910888672e+00,1.953233033418655396e-01,-3.309747278690338135e-01,1.882728815078735352e+00,2.171367883682250977e+00,3.972071111202239990e-01,-6.284901499748229980e-01,3.060620427131652832e-01,-6.663247942924499512e-02,1.785340785980224609e+00,3.171171188354492188e+00,-2.863002121448516846e-01,-5.574353933334350586e-01
1.841583728790283203e+00,-3.176552057266235352e-01,-6.449804455041885376e-02,2.167978584766387939e-01,2.119606018066406250e+00,2.918918430805206299e-01,5.160551071166992188e-01,1.442419290542602539e-01,1.172614812850952148e+00,5.020549297332763672e-01,3.075380086898803711e+00,5.046866461634635925e-02,-1.610898077487945557e-01
1.318755149841308594e+00,-7.065522074699401855e-01,-2.979474961757659912e-01,1.000526472926139832e-01,9.441003799438476562e-01,-2.842999808490276337e-02,-1.719717383384704590e-01,6.387446522712707520e-01,-4.137932658195495605e-01,2.872111275792121887e-02,4.579194068908691406e+00,4.319581687450408936e-01,-1.610454637557268143e-04
