# theta_E,gamma1,gamma2,source_x,source_y
8.523818850517272949e-01,-1.466704308986663818e-01,-1.718443334102630615e-01,2.808821797370910645e-01,-8.717909455299377441e-02
1.389663457870483398e+00,-1.563219428062438965e-01,-5.473837256431579590e-02,-1.733261346817016602e-01,-2.848839461803436279e-01
7.406216263771057129e-01,-1.696350574493408203e-01,-2.346718311309814453e-02,-2.067844420671463013e-01,-2.972803115844726562e-01
1.132255077362060547e+00,5.048169195652008057e-02,-1.366964429616928101e-01,1.962891817092895508e-01,1.137896478176116943e-01
1.445642232894897461e+00,1.097630709409713745e-01,8.573473989963531494e-02,-2.409927397966384888e-01,1.415412425994873047e-01
1.335895776748657227e+00,1.101762503385543823e-01,8.800877630710601807e-02,6.937000155448913574e-02,2.477617263793945312e-01
9.770209789276123047e-01,1.037168353796005249e-01,3.843095898628234863e-02,-2.606290876865386963e-01,2.920485734939575195e-01
8.390741944313049316e-01,7.437302172183990479e-02,1.169659048318862915e-01,-2.645438015460968018e-01,-1.696461588144302368e-01
1.173175454139709473e+00,1.613527536392211914e-03,6.634809076786041260e-02,2.480621933937072754e-01,1.117770969867706299e-01
7.299721837043762207e-01,7.149310410022735596e-02,5.687160789966583252e-02,-2.829805612564086914e-01,2.157549262046813965e-01
7.028828263282775879e-01,-1.452945917844772339e-01,4.992587864398956299e-02,-2.903519570827484131e-01,-2.673422694206237793e-01
1.191952586174011230e+00,6.986083090305328369e-02,-5.609680712223052979e-02,-2.344100028276443481e-01,-9.543104469776153564e-02
1.635343551635742188e+00,9.987665712833404541e-02,1.340968757867813110e-01,-1.037815511226654053e-01,-2.547477781772613525e-01
8.069990277290344238e-01,-3.001426160335540771e-02,-6.913092732429504395e-02,-1.588817983865737915e-01,6.569206714630126953e-02
1.138398647308349609e+00,7.038308680057525635e-02,1.211903542280197144e-01,2.127496004104614258e-01,2.188244462013244629e-01
1.364497423171997070e+00,6.423105299472808838e-02,1.437356621026992798e-01,2.274397015571594238e-01,-4.751026630401611328e-03
9.932802915573120117e-01,1.107556074857711792e-01,8.614897727966308594e-03,1.426088511943817139e-01,1.221342086791992188e-01
1.549747347831726074e+00,-3.358313441276550293e-02,9.561221301555633545e-02,-7.027406990528106689e-02,-2.879251837730407715e-01
1.064405918121337891e+00,1.287790387868881226e-01,1.309244781732559204e-01,2.951621413230895996e-01,-2.987357676029205322e-01
1.550750136375427246e+00,-7.888912409543991089e-02,-1.179732307791709900e-01,-2.830951809883117676e-01,-2.319727838039398193e-01
1.522264242172241211e+00,1.205885261297225952e-01,2.598017454147338867e-03,2.492126226425170898e-01,-2.224883139133453369e-01
7.300221920013427734e-01,-5.875776708126068115e-02,4.057416319847106934e-02,1.131799221038818359e-01,-1.807399988174438477e-01
1.741477489471435547e+00,-4.580338299274444580e-02,3.226450085639953613e-02,1.039597094058990479e-01,3.988611698150634766e-02
1.640807509422302246e+00,-3.790935873985290527e-02,-7.902230322360992432e-02,1.630264222621917725e-01,-1.712304353713989258e-01
1.100073695182800293e+00,-1.073424890637397766e-01,1.107810884714126587e-01,-1.929341107606887817e-01,2.888720035552978516e-01
1.300737738609313965e+00,1.040032356977462769e-01,-1.642106026411056519e-01,-2.855103909969329834e-01,-2.114539891481399536e-01
9.431291818618774414e-01,3.367432951927185059e-02,4.814833402633666992e-03,-1.111168712377548218e-01,-2.628040611743927002e-01
1.026844739913940430e+00,-7.642070204019546509e-02,7.769018411636352539e-03,-2.948298156261444092e-01,1.661941707134246826e-01
7.974434494972229004e-01,5.917678773403167725e-02,-1.233762726187705994e-01,-8.749231696128845215e-02,-1.743097007274627686e-01
1.478811025619506836e+00,5.900208652019500732e-02,-1.008493229746818542e-01,1.634494960308074951e-01,1.224223673343658447e-01
1.046615242958068848e+00,9.565438330173492432e-02,-4.924610257148742676e-02,2.406560182571411133e-01,4.598203301429748535e-02
1.186851978302001953e+00,-1.883749961853027344e-01,-9.236416965723037720e-02,2.828791737556457520e-01,2.606761455535888672e-01
1.670230746269226074e+00,3.506615757942199707e-03,-9.238398075103759766e-02,1.002176702022552490e-01,-1.796555519104003906e-01
7.755444049835205078e-01,1.573134809732437134e-01,9.431511163711547852e-03,-1.213524043560028076e-01,-8.853557705879211426e-02
1.369029879570007324e+00,-8.928681910037994385e-02,3.275449573993682861e-02,2.889526486396789551e-01,-3.295829892158508301e-02
1.744587182998657227e+00,1.350331306457519531e-02,-1.018509119749069214e-01,-2.236375808715820312e-01,-7.622288167476654053e-02
1.467291951179504395e+00,-1.190840229392051697e-01,8.032764494419097900e-02,1.632712185382843018e-01,2.774990797042846680e-01
9.247223138809204102e-01,5.175353586673736572e-02,5.621193349361419678e-02,7.610991597175598145e-02,-1.147615611553192139e-01
8.813686370849609375e-01,-1.119160652160644531e-02,-5.952288210391998291e-02,1.581977307796478271e-01,-1.103953123092651367e-01
1.762805938720703125e+00,-9.122743457555770874e-02,-1.561546325683593750e-02,-2.976579070091247559e-01,1.977317035198211670e-01
1.484656572341918945e+00,-2.462655305862426758e-02,3.241610527038574219e-02,6.655710935592651367e-02,-2.595399618148803711e-01
1.705200910568237305e+00,-7.509483397006988525e-02,3.981633484363555908e-02,1.320773363113403320e-01,2.413396239280700684e-01
7.607778310775756836e-01,-1.370752751827239990e-01,2.571785449981689453e-02,2.932950854301452637e-01,-2.821339070796966553e-01
7.650595307350158691e-01,1.537275165319442749e-01,5.223391950130462646e-02,-2.467565834522247314e-01,3.738504648208618164e-02
7.525659203529357910e-01,-1.171935126185417175e-01,-1.607145369052886963e-01,-2.742113769054412842e-01,-2.090718448162078857e-01
1.024077177047729492e+00,6.129752099514007568e-02,7.720802724361419678e-02,2.538890838623046875e-01,-2.317140698432922363e-01
7.781529426574707031e-01,1.607744246721267700e-01,-4.297916591167449951e-02,-1.926589012145996094e-01,-1.663502603769302368e-01
9.829282760620117188e-01,-4.982762038707733154e-02,-5.650298297405242920e-02,1.133794188499450684e-01,7.304769754409790039e-02
1.304124593734741211e+00,8.897261321544647217e-02,1.612105816602706909e-01,-2.728104889392852783e-01,2.135316729545593262e-01
1.315950870513916016e+00,-1.974157840013504028e-01,-3.906741738319396973e-02,-1.472595185041427612e-01,2.933593392372131348e-01
1.749128341674804688e+00,4.088014364242553711e-03,-6.991377472877502441e-02,-1.996222138404846191e-01,2.019581198692321777e-02
9.410055875778198242e-01,-8.214279264211654663e-02,-1.215562224388122559e-02,-2.311311215162277222e-01,-8.830052614212036133e-02
1.129060983657836914e+00,1.461481004953384399e-01,-9.074632078409194946e-02,-1.679554730653762817e-01,1.795076727867126465e-01
1.286987066268920898e+00,-1.209942325949668884e-01,-2.494226396083831787e-02,-1.772594600915908813e-01,1.417017579078674316e-01
1.472938776016235352e+00,-5.013155937194824219e-02,-1.169359907507896423e-01,-1.906449496746063232e-01,6.274792551994323730e-02
1.678574562072753906e+00,7.604552805423736572e-02,5.161119997501373291e-02,1.939736008644104004e-01,-1.401707530021667480e-02
8.211696743965148926e-01,-8.512232452630996704e-02,1.072394847869873047e-02,-2.318240404129028320e-01,-2.197986394166946411e-01
1.346324443817138672e+00,9.260742366313934326e-02,-1.001384034752845764e-01,-2.856134772300720215e-01,-2.742000222206115723e-01
7.870157957077026367e-01,-1.612925231456756592e-01,5.660237371921539307e-02,-9.718346595764160156e-02,1.184528768062591553e-01
1.214458227157592773e+00,5.059026181697845459e-02,-1.138363778591156006e-02,1.501428484916687012e-01,-6.760269403457641602e-03
