# theta_E,e1,e2,gamma1,gamma2,R_sersic,n_sersic,e1_src,e2_src,center_x_src,center_y_src
2.050581276416778564e-01,1.201465129852294922e-01,3.186458051204681396e-01,6.941393017768859863e-03,1.408774107694625854e-01,7.816978693008422852e-01,1.406963109970092773e+00,5.202565714716911316e-02,-5.137287974357604980e-01,-3.159828484058380127e-01,5.417662858963012695e-01
2.903573989868164062e+00,3.964634239673614502e-01,-3.466259241104125977e-01,1.505461484193801880e-01,8.550317585468292236e-02,9.459904432296752930e-01,1.744842529296875000e+00,-3.927284479141235352e-01,-9.943918138742446899e-02,2.193311452865600586e-01,-6.865130662918090820e-01
2.151687860488891602e+00,2.240169942378997803e-01,-1.392619907855987549e-01,8.051441609859466553e-02,6.316699087619781494e-02,1.641573756933212280e-02,1.839293241500854492e+00,6.544380187988281250e-01,2.707980871200561523e-01,1.646728068590164185e-01,2.364429533481597900e-01
2.264632225036621094e+00,1.696515642106533051e-02,4.682610929012298584e-01,-1.407648026943206787e-01,-2.599765360355377197e-02,1.812235832214355469e+00,1.598797082901000977e+00,1.609692275524139404e-01,1.354200541973114014e-01,2.550078928470611572e-01,3.690320551395416260e-01
2.457966327667236328e+00,-4.901167936623096466e-03,7.329940795898437500e-01,9.824229776859283447e-02,1.408770233392715454e-01,7.899443507194519043e-01,1.808719158172607422e+00,4.960536360740661621e-01,1.078248918056488037e-01,-5.019168853759765625e-01,-8.082249760627746582e-01
1.318115741014480591e-01,3.971348106861114502e-01,-3.845387399196624756e-01,1.779734939336776733e-01,-1.477978527545928955e-01,2.804647684097290039e-01,1.062238931655883789e+00,-1.228024512529373169e-01,6.246373057365417480e-02,5.030764341354370117e-01,2.775675356388092041e-01
8.862249255180358887e-01,-7.687526941299438477e-01,-1.200695708394050598e-01,1.119859665632247925e-01,-9.486608952283859253e-02,2.690274119377136230e-01,2.033334016799926758e+00,-3.543433248996734619e-01,4.072993248701095581e-02,-2.521571218967437744e-01,6.195898652076721191e-01
2.819263219833374023e+00,3.501126468181610107e-01,-5.133279040455818176e-02,-5.540302395820617676e-02,-4.950790107250213623e-02,1.207040190696716309e+00,1.777921676635742188e+00,1.872176676988601685e-01,3.114571571350097656e-01,5.271023511886596680e-01,1.074698567390441895e-01
2.745730161666870117e+00,5.319121479988098145e-01,1.016187444329261780e-01,2.662281692028045654e-02,-1.169404238462448120e-01,1.193395495414733887e+00,4.282190203666687012e-01,4.709959030151367188e-02,1.870797425508499146e-01,-7.314750552177429199e-01,6.086419820785522461e-01
3.816913962364196777e-01,5.108737945556640625e-01,-5.447430610656738281e-01,7.462948560714721680e-03,-1.763834208250045776e-01,2.762309014797210693e-01,7.813650369644165039e-01,-6.212954223155975342e-02,-3.769883811473846436e-01,4.134483933448791504e-01,-1.229873374104499817e-01
2.885324001312255859e+00,-3.382279276847839355e-01,-4.089996516704559326e-01,-1.522796899080276489e-01,9.528003633022308350e-02,1.924118697643280029e-01,4.936450719833374023e-01,-4.156327843666076660e-01,-4.235833287239074707e-01,-2.668248116970062256e-01,6.033174395561218262e-01
2.576689243316650391e+00,-4.189456403255462646e-01,-4.608543515205383301e-01,-1.363278627395629883e-01,1.373641043901443481e-01,1.317087292671203613e+00,2.289381504058837891e+00,1.800427138805389404e-01,-7.839722558856010437e-03,-1.250240206718444824e-01,-4.299828410148620605e-02
